Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude
Albania,11.815,13.7447359109736,2.6,29,21.7,41.153332
Algeria,16.693,6.36249654497986,?,27.6,27.4,28.033886
Angola,0.122,2.21637364776329,?,42.7,8.2,-11.202692
Argentina,16.263,11.1177888760774,4.5,41.2,28.3,-38.416097
Armenia,76.605,11.2538176570131,3.7,33.6,20.2,40.069099
Australia,4,15.6564752275591,3.8,35.8,29,-25.274398
Austria,74.725,19.0015664595899,7.7,30.5,20.1,47.516231
Azerbaijan,10.06,6.19518275071493,4.6,26.6,19.9,40.143105
Bangladesh,6.145,5.15839063962068,0.6,32.4,3.6,23.684994
Belarus,30.478,14.8451481743098,11.3,25.4,24.5,53.709807
Belgium,830.83,18.7887437383395,6.4,27.7,22.1,50.503887
Belize,5.03,4.73645877657144,1.1,53.3,24.1,17.189877
Benin,0.33,3.25360529746338,?,47.8,9.6,9.30769
Bhutan,0,6.00301171280561,1.8,37.4,6.4,27.514162
Bolivia,43.862,7.19194739218447,1.1,44,20.2,-16.290154
Bosnia and Herzegovina,48.768,16.4703174710621,3.5,33,17.9,43.915886
Botswana,0.425,4.22387434629301,?,53.3,18.9,-22.328474
Brazil,186.677,8.92283783244003,2.3,53.3,22.1,-14.235004
Bulgaria,24.034,21.021914434268,6.4,37.4,25,42.733883
Burkina Faso,2.535,2.40698082866355,?,35.3,5.6,12.238333
Burundi,0.084,2.24694046033717,1.9,38.6,5.4,-3.373056
Cameroon,7.835,2.72887735524057,?,46.6,11.4,7.369722
Canada,210.905,17.2320066788651,2.7,34,29.4,56.130366
Central African Republic,1.242,2.82577370666008,1,56.2,7.5,6.611111
Chad,4.383,2.48051894434901,?,43.3,6.1,15.454166
Chile,129.471,11.5298016568816,2.1,46.6,28,-35.675147
China,3.222,10.9208835350654,3.8,38.6,6.2,35.86166
Colombia,28.163,8.47804701986958,1.4,49.7,22.3,4.570868
Comoros,2.3,3.00700930649436,?,45.3,7.8,-11.875001
Costa Rica,2.356,9.54984767296984,1.2,48.3,25.7,9.748917
Croatia,25.82,20.445433012423,5.7,31.1,24.4,45.1
Cyprus,20.55,13.7190617734483,3.5,34,21.8,35.126413
Czech Republic,30.628,19.4208768932343,6.8,25.9,26,49.817492
Denmark,102.379,19.8129526369902,3.1,28.2,19.7,56.26392
Djibouti,34.413,4.52757937811482,1.4,41.6,13.5,11.825138
Dominican Republic,50.701,7.08281747649721,1.7,45.7,27.8,18.735693
Ecuador,210.848,7.15728972666108,1.6,44.7,19.9,-1.831239
Egypt,13.114,5.22977934620923,0.5,31.8,32,26.820553
El Salvador,9.867,8.28709000480629,1,38,24.6,13.794185
Estonia,52.015,19.6263568469749,5.3,32.7,21.2,58.595272
Ethiopia,0.304,3.50113299760986,6.3,35,4.5,9.145
Fiji,0,5.44968041263952,2.3,36.7,30.2,-16.578193
Finland,58.476,21.7207875455222,5.5,27.1,22.2,61.92411
France,449.171,20.0346247469881,6.6,32.7,21.6,46.227638
Gabon,9.884,3.56390746835592,?,38,15,-0.803689
Georgia,3.259,14.8654914310525,2.8,37.9,21.7,42.315407
Germany,104.495,21.4619619953309,8.2,31.7,22.3,51.165691
Ghana,1.545,3.06889800693396,0.9,43.5,10.9,7.946527
Greece,17.557,21.6552720778435,4.5,36,24.9,39.074208
Guatemala,17.638,4.81207250828785,0.6,48.3,21.2,15.783471
Guinea,1.751,2.92602244847935,0.3,33.7,7.7,9.945587
Guinea-Bissau,6.098,2.82371633615269,?,50.7,9.5,11.803749
Guyana,15.256,6.45027124309697,?,44.6,20.2,4.860416
Haiti,5.087,4.94940384843253,?,41.1,22.7,18.971187
Honduras,29.279,4.69061765907812,0.7,50.5,21.4,15.199999
Hungary,57.037,19.1577253832321,7.2,30.4,26.4,47.162494
Iceland,29.304,14.7950925565689,3.3,27.8,21.9,64.963051
India,5.871,6.17995564947149,0.7,35.7,3.9,20.593684
Indonesia,7.162,5.85716561272863,?,38.1,6.9,-0.789275
Iran,101.27,6.18457380562499,1.7,40,25.8,32.427908
Iraq,10.591,3.32359966279505,1.3,29.5,30.4,33.223191
Ireland,343.271,13.8658017012923,2.9,31.8,25.3,53.41291
Israel,34.544,11.9769860249625,3.1,38.9,26.1,31.046051
Italy,564.224,22.7516796025077,3.5,35.4,19.9,41.87194
