Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,Percentage of foreign population,Percentage not in their country,BCG
Algeria,16.693,6.36249654497986,?,27.6,27.4,28.033886,0.2,0.7,1
Argentina,16.263,11.1177888760774,4.5,41.2,28.3,-38.416097,0.8,4.6,0
Australia,4,15.6564752275591,3.8,35.8,29,-25.274398,3.1,33.3,0
Austria,74.725,19.0015664595899,7.7,30.5,20.1,47.516231,0.6,17.4,0
Bangladesh,6.145,5.15839063962068,0.6,32.4,3.6,23.684994,0.6,0.9,1
Belgium,830.83,18.7887437383395,6.4,27.7,22.1,50.503887,0.6,12.9,0
Brazil,186.677,8.92283783244003,2.3,53.3,22.1,-14.235004,0.8,0.9,0
Canada,210.905,17.2320066788651,2.7,34,29.4,56.130366,3.2,21.9,0
Chile,129.471,11.5298016568816,2.1,46.6,28,-35.675147,0.2,6.7,0
China,3.222,10.9208835350654,3.8,38.6,6.2,35.86166,0.4,0.1,0
Colombia,28.163,8.47804701986958,1.4,49.7,22.3,4.570868,0.8,3.9,0
Denmark,102.379,19.8129526369902,3.1,28.2,19.7,56.26392,0.3,9,0
Dominican Republic,50.701,7.08281747649721,1.7,45.7,27.8,18.735693,0.2,3.9,0
Ecuador,210.848,7.15728972666108,1.6,44.7,19.9,-1.831239,0.2,2.2,0
Egypt,13.114,5.22977934620923,0.5,31.8,32,26.820553,0.2,0.4,1
Finland,58.476,21.7207875455222,5.5,27.1,22.2,61.92411,0.2,5.4,0
France,449.171,20.0346247469881,6.6,32.7,21.6,46.227638,3.1,11.1,0
Germany,104.495,21.4619619953309,8.2,31.7,22.3,51.165691,4.9,14.9,0
Greece,17.557,21.6552720778435,4.5,36,24.9,39.074208,0.6,11.1,0
Hungary,57.037,19.1577253832321,7.2,30.4,26.4,47.162494,0.3,4.7,0
India,5.871,6.17995564947149,0.7,35.7,3.9,20.593684,2.3,0.4,0
Indonesia,7.162,5.85716561272863,?,38.1,6.9,-0.789275,0.2,0.1,0
Iran,101.27,6.18457380562499,1.7,40,25.8,32.427908,1.1,3.4,0
Iraq,10.591,3.32359966279505,1.3,29.5,30.4,33.223191,0.1,0.3,1
Ireland,343.271,13.8658017012923,2.9,31.8,25.3,53.41291,0.3,15.9,0
Israel,34.544,11.9769860249625,3.1,38.9,26.1,31.046051,0.9,26.5,0
Italy,564.224,22.7516796025077,3.5,35.4,19.9,41.87194,2.6,8.3,0
Japan,7.274,27.576369910355,?,32.1,4.3,36.204824,1.1,1.9,1
Malaysia,3.646,6.67175462547886,1.79,41,15.6,4.210484,1.1,8.3,1
Mexico,119.109,7.22368498087198,1.5,48.3,28.9,23.634501,0.5,0.9,0
Moldova,91.969,11.4695563413512,6.2,25.9,18.9,47.411631,0.2,11.2,1
Morocco,5.689,7.0129048211122,0.9,39.5,26.1,31.791702,0.1,0.2,1
Netherlands,352.614,19.1961926333387,?,28.2,20.4,52.132633,0.8,11.1,0
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024,0.3,13.8,0
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321,1.8,2.2,1
Panama,95.718,8.10473107966757,2.2,49.9,22.7,8.537981,0.1,4.7,0
Peru,179.032,8.08839279183076,1.5,43.3,19.7,-9.189967,0.1,0.3,0
Philippines,9.372,5.12256876829946,1,44.4,6.4,12.879721,0.09,0.23,1
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438,0.3,1.6,0
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872,0.3,7.5,0
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161,0.1,0.9,1
Serbia,36.887,18.3457926916963,5.6,39.6,21.5,44.016521,0.3,5.6,0
Slovenia,52.431,19.6068796541788,4.6,25.4,20.2,46.151241,0.2,11.3,0
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667,2.9,15.2,0
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161,0.7,18.5,0
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745,1.3,3.8,0
Ukraine,19.047,16.4346864392016,9,25,24.1,48.379433,2.2,11.4,0
