Country,Avergage,Interval
Malawi,0.8,(0.6-1.1)
Somalia,37,(29.9-44.0)
Tanzania,0.5,(0.1-0.9)
Uganda,45.5,(43.7-47.3t
Zambia,0.6,(0.1-1.1)
Zimbabwe,51.9,(42.2-61.6)
Angola,14.7,(9.7-19.7)
Cameroon,8.8,(7.0-10.5)
DRC,8.5,(7.3-9.7)
Benin,51.6,(50.0-53.1)
Burkinafaso,56.8,(53.3-60.3)
Cote d'lvoire,38.9,(36.6-41.2)
Gambia,66.9,(62.6-71.1)
Ghana,47.4,(43.8-50.9)
Guinea-Bissau,64.9,(60.7-69.1)
Liberia,49.1,(46.4-51.7)
Mali,28.9,(26.7-31.3)
Mauritania,11.7,(9.4-14.0)
Niger,44.2,(41.6-46.7)
Senegal,10.6,(8.9-12.4)
Togo,36.7,(33.1-40.3)
