Country,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Afghanistan,911.29,4.47,30.338,0.437,38928341,54.422,2.581,1.337,1803.987,597.029,9.59,37.746,0.5,64.83
Albania,1421.225,28.494,38.919,0.347,2877800,104.871,13.188,8.643,11803.431,304.195,10.08,?,2.89,78.57
Algeria,526.418,12.2,24.583,0.228,43851043,17.348,6.211,3.857,13913.839,278.364,6.73,83.741,1.9,76.88
Andorra,11389.374,0,673.008,0,77265,163.755,?,?,?,109.135,7.97,?,?,83.73
Angola,21.451,0.548,0.882,0,32866268,23.89,2.405,1.362,5819.495,276.045,3.94,26.664,?,61.15
Anguilla,199.973,0,0,0,15002,?,?,?,?,?,?,?,?,81.88
Antigua and Barbuda,776.08,0,30.635,0,97928,231.845,6.933,4.631,21490.943,191.511,13.17,?,3.8,77.02
Argentina,2710.674,71.312,49.695,0.929,45195777,16.177,11.198,7.441,18933.907,191.032,5.5,?,5,76.67
Armenia,11769.911,140.05,216.318,3.375,2963234,102.931,11.232,7.571,8787.58,341.01,7.11,94.043,4.2,75.09
Aruba,1058.389,46.831,28.099,0,106766,584.8,13.085,7.452,35973.781,?,11.62,?,?,76.29
Australia,462.826,14.157,4.784,0.157,25499881,3.202,15.504,10.129,44648.71,107.791,5.07,?,3.84,83.44
Austria,2173.01,6.995,78.944,0,9006400,106.749,19.202,13.748,45436.686,145.183,6.35,?,7.37,81.54
Azerbaijan,2714.323,38.267,34.914,0.493,10139175,119.309,6.018,3.871,15847.419,559.812,7.11,83.241,4.7,73
Bahamas,389.067,38.144,27.972,0,393248,39.497,8.996,5.2,27717.847,235.954,13.17,?,2.9,73.92
Bahrain,21404.774,245.654,74.049,1.175,1701583,1935.907,2.372,1.387,43290.705,151.689,16.52,?,2,77.29
Bangladesh,1241.883,14.931,15.897,0.225,164689383,1265.036,5.098,3.262,3523.984,298.003,8.38,34.808,0.8,72.59
Barbados,365.381,3.48,24.359,0,287371,664.463,14.952,9.473,16978.068,170.05,13.57,88.469,5.8,79.19
Belarus,6994.682,15.028,52.808,0.423,9449321,46.858,14.799,9.788,17167.967,443.129,5.18,?,11,74.79
Belgium,5512.952,16.135,845.585,0,11589616,375.564,18.571,12.849,42658.576,114.898,4.29,?,5.64,81.63
Belize,100.598,0,5.03,0,397621,16.426,3.853,2.279,7824.362,176.957,17.11,90.083,1.3,74.62
Benin,132.143,0,2.557,0,12123198,99.11,3.244,1.942,2064.236,235.848,0.99,11.035,0.5,61.77
Bermuda,2456.924,0,144.525,0,62273,1308.82,?,?,50669.315,139.547,13,?,?,82.59
Bhutan,115.343,2.592,0,0,771612,21.188,4.885,2.977,8708.597,217.066,9.75,79.807,1.7,71.78
Bolivia,5104.245,123.704,184.271,3.855,11673029,10.202,6.704,4.393,6885.829,204.299,6.89,25.383,1.1,71.51
Bonaire Sint Eustatius and Saba,381.374,0,0,0,26221,?,?,?,?,?,?,?,?,77.79
Bosnia and Herzegovina,2488.406,78.029,74.677,0.61,3280815,68.496,16.569,10.711,11713.895,329.635,10.08,97.164,3.5,77.4
Botswana,221.974,0,0.425,0,2351625,4.044,3.941,2.242,15807.374,237.372,4.81,?,1.8,69.59
Brazil,9872.012,110.694,373.957,3.368,212559409,25.04,8.552,5.06,14103.452,177.961,8.11,?,2.2,75.88
British Virgin Islands,264.577,0,33.072,0,30237,207.973,?,?,?,?,13.67,?,?,79.07
Brunei,322.298,0,6.857,0,437483,81.347,4.591,2.382,71809.251,201.285,12.79,?,2.7,75.86
Bulgaria,1256.828,13.672,43.175,0.144,6948445,65.18,20.801,13.272,18563.307,424.688,5.81,?,7.454,75.05
Burkina Faso,50.949,0.622,2.535,0,20903278,70.151,2.409,1.358,1703.102,269.048,2.42,11.877,0.4,61.58
Burundi,26.071,0,0.084,0,11890781,423.062,2.562,1.504,702.225,293.068,6.05,6.144,0.8,61.58
Cambodia,10.228,0,0,0,16718971,90.672,4.412,2.385,3645.07,270.892,4,66.229,0.8,69.82
Cameroon,608.645,0,14.051,0,26545864,50.885,3.165,1.919,3364.926,244.661,7.2,2.735,1.3,59.29
Canada,2923.468,18.017,234.539,0.344,37742157,4.037,16.984,10.797,44017.591,105.599,7.37,?,2.5,82.43
Cape Verde,3674.54,52.159,37.771,0,555988,135.58,4.46,3.437,6222.554,182.219,2.42,?,2.1,72.98
Cayman Islands,3088.862,0,15.216,0,65720,256.496,?,?,49903.029,?,13.22,?,?,83.92
Central African Republic,928.617,0,11.388,0,4829764,7.479,3.655,2.251,661.24,435.727,6.1,16.603,1,53.28
Chad,54.122,0,4.566,0,16425859,11.833,2.486,1.446,1768.153,280.995,6.1,5.818,?,54.24
Chile,17311.487,229.7,444.806,8.161,19116209,24.282,11.087,6.938,22767.037,127.993,8.46,?,2.11,80.18
China,59.481,0.09,3.228,0,1439323774,147.674,10.641,5.929,15308.712,261.899,9.74,?,4.34,76.91
Colombia,3877.099,129.277,132.382,4.324,50882884,44.223,7.646,4.312,13254.949,124.24,7.44,65.386,1.71,77.29
Comoros,384.087,6.9,8.05,0,869595,437.352,2.963,1.726,1413.89,261.516,11.88,15.574,2.2,64.32
Congo,477.158,0,8.88,0,5518092,15.405,3.402,2.063,4881.406,344.094,7.2,47.964,?,64.57
Costa Rica,2181.734,110.52,12.171,1.57,5094114,96.079,9.468,5.694,15524.995,137.973,8.78,83.841,1.13,80.28
Cote d'Ivoire,535.251,7.847,3.488,0.038,26378275,76.399,2.933,1.582,3601.006,303.74,2.42,19.351,?,57.78
Croatia,1060.588,28.987,29.231,0,4105268,73.726,19.724,13.053,22669.797,253.782,5.59,?,5.54,78.49
Cuba,215.952,0.088,7.681,0,11326616,110.408,14.738,9.719,?,190.968,8.27,85.198,5.2,78.8
Curacao,170.628,12.188,6.094,0,164100,362.644,16.367,10.068,?,?,11.62,?,?,78.88
Cyprus,1185.068,1.142,21.692,0,875899,127.657,13.416,8.563,32415.132,141.171,9.24,?,3.4,80.98
Czech Republic,1302.178,8.404,33.523,0.093,10708982,137.176,19.027,11.58,32605.906,227.485,6.82,?,6.63,79.38
Democratic Republic of Congo,93.813,0.882,2.155,0.011,89561404,35.879,3.02,1.745,808.133,318.949,6.1,4.472,?,60.68
Denmark,2274.264,0,105.487,0,5792203,136.52,19.677,12.325,46682.515,114.767,6.41,?,2.5,80.9
Djibouti,5071.852,8.097,56.68,0,988002,41.285,4.213,2.38,2705.406,258.037,6.05,?,1.4,67.11
Dominica,250.031,0,0,0,71991,98.567,?,?,9673.367,227.376,11.62,?,3.8,75
Dominican Republic,4872.37,123.157,90.432,0.922,10847904,222.873,6.981,4.419,14600.861,266.653,8.2,55.182,1.6,74.08
Ecuador,4195.021,35.765,301.138,1.757,17643060,66.939,7.104,4.458,10581.936,140.448,5.55,80.635,1.5,77.01
Egypt,857.727,5.892,42.039,0.498,102334403,97.999,5.159,2.891,10550.206,525.432,17.31,89.827,1.6,71.99
El Salvador,1826.339,52.111,53.036,3.083,6486201,307.811,8.273,5.417,7292.458,167.295,8.87,90.65,1.3,73.32
Equatorial Guinea,2188.904,0,36.351,0,1402985,45.194,2.846,1.752,22604.873,202.812,7.78,24.64,2.1,58.74
Eritrea,70.775,0,0,0,3546427,44.304,3.607,2.171,1510.459,311.11,6.05,?,0.7,66.32
Estonia,1523.513,0,52.015,0,1326539,31.033,19.452,13.491,29481.252,255.569,4.02,?,4.69,78.74
Ethiopia,82.661,3.097,1.453,0.035,114963583,104.957,3.526,2.063,1729.927,182.634,7.47,7.96,0.3,66.6
Faeroe Islands,3908.728,61.394,0,0,48865,35.308,?,?,?,?,?,?,?,80.67
Falkland Islands,3732.415,0,0,0,3483,?,?,?,?,?,?,?,?,81.44
Fiji,29.003,0,0,0,896444,49.562,6.224,3.284,8702.975,412.82,14.49,?,2.3,67.44
Finland,1324.377,3.61,59.198,0,5540718,18.136,21.228,13.264,40585.721,153.507,5.76,?,3.28,81.91
France,2676.032,0,461.933,0,65273512,122.578,19.718,13.079,38605.671,86.06,4.77,?,5.98,82.66
French Polynesia,220.716,0,0,0,280904,77.324,7.775,4.593,?,?,22.63,?,?,77.66
Gabon,2837.274,0,20.667,0,2225728,7.859,4.45,2.976,16562.413,259.967,7.2,?,6.3,66.47
Gambia,38.483,0,1.655,0,2416664,207.566,2.339,1.417,1561.767,331.43,1.91,7.876,1.1,62.05
Georgia,257.697,0,3.76,0,3989175,65.032,14.864,10.244,9745.079,496.218,7.11,?,2.6,73.77
Germany,2408.851,2.972,108.446,0.024,83783945,237.016,21.453,15.957,45229.245,156.139,8.31,?,8,81.33
Ghana,890.389,19.535,4.763,0.097,31072945,126.719,3.385,1.948,4227.63,298.245,4.97,41.047,0.9,64.07
Gibraltar,5342.673,0,0,0,33691,3457.1,?,?,?,?,?,?,?,79.93
Greece,384.436,2.303,18.613,0,10423056,83.479,20.396,14.524,24574.382,175.695,4.55,?,4.21,82.24
Greenland,228.986,0,0,0,56772,0.137,?,?,?,199.941,2.16,?,?,71.7
Grenada,204.41,0,0,0,112519,317.132,7.304,5.021,13593.877,243.964,10.71,?,3.7,72.4
Guam,1890.001,23.699,29.624,0,168783,304.128,9.551,5.493,?,310.496,21.52,?,?,80.07
Guatemala,2158.849,35.444,82.889,2.009,17915567,157.834,4.694,3.016,7423.808,155.898,10.18,76.665,0.6,74.3
Guernsey,3758.277,0,193.879,0,67052,?,?,?,?,?,?,?,?,
Guinea,498.295,4.036,2.97,0,13132792,51.755,3.135,1.733,1998.926,336.717,2.42,17.45,0.3,61.6
Guinea-Bissau,979.168,0,13.211,0,1967998,66.191,3.002,1.565,1548.675,382.474,2.42,6.403,?,58.32
Guyana,427.177,11.442,24.156,0,786559,3.952,5.305,2.837,7435.047,373.159,11.62,77.159,1.6,69.91
Haiti,618.547,0,12.804,0,11402533,398.448,4.8,2.954,1653.173,430.548,6.65,22.863,0.7,64
Honduras,3416.087,105.204,90.867,0.909,9904608,82.805,4.652,2.883,4541.795,240.208,7.21,84.169,0.7,75.27
Hungary,448.534,1.863,61.695,0,9660350,108.043,18.577,11.976,26777.561,278.296,7.55,?,7.02,76.88
Iceland,5655.678,23.443,29.304,0,341250,3.404,14.431,9.207,46482.958,117.992,5.31,?,2.91,82.99
India,810.174,29.293,19.925,0.493,1380004385,450.419,5.989,3.414,6426.674,282.28,10.39,59.55,0.53,69.66
Indonesia,316.32,5.992,15.147,0.464,273523621,145.725,5.319,3.053,11188.744,342.864,6.32,64.204,1.04,71.72
Iran,3259.654,25.978,168.919,2.488,83992953,49.831,5.44,3.182,19082.62,270.308,9.59,?,1.5,76.68
Iraq,2300.454,57.431,94.002,2.238,40222503,88.125,3.186,1.957,15663.986,218.612,8.83,94.576,1.4,70.6
Ireland,5216.902,2.025,355.017,0,4937796,69.874,13.928,8.678,67335.293,126.459,3.28,?,2.96,82.3
Isle of Man,3951.454,0,282.247,0,85032,147.872,?,?,?,?,?,?,?,81.4
Israel,5810.035,106.752,47.253,0.924,8655541,402.606,11.733,7.359,33132.32,93.32,6.74,?,2.99,82.97
Italy,4042.782,3.606,579.622,0.05,60461828,205.859,23.021,16.24,35220.084,113.151,4.78,?,3.18,83.51
Jamaica,266.787,5.403,3.377,0,2961161,266.879,9.684,6.39,8193.571,206.537,11.28,66.425,1.7,74.47
Japan,198.424,3.59,7.788,0,126476458,347.778,27.049,18.493,39002.223,79.37,5.72,?,13.05,84.63
Jersey,3274.861,0,306.709,0,101073,?,?,?,?,?,?,?,?,
Jordan,119.375,0.392,1.078,0,10203140,109.285,3.81,2.361,8337.49,208.257,11.75,?,1.4,74.53
Kazakhstan,3825.91,79.833,19.972,0,18776707,6.681,6.991,4.625,24055.588,466.792,7.11,98.999,6.7,73.6
Kenya,248.329,11.214,4.352,0.167,53771300,87.324,2.686,1.528,2993.028,218.637,2.92,24.651,1.4,66.7
Kosovo,2967.238,61.052,69.848,2.587,1932774,168.155,?,?,9795.834,?,?,?,?,
