Country,1950,1955,1950-55%,1960,1955-60%,1965,1960-65%,1970,1965-70%,1975,1970-75%,1980,1975-80%,1985,19880-85%,1990,1985-90%,1995,1990-95%,2000,1995-2000%,2005,2000-05%,2010,2005-10%,2015,2010-15%
 Afghanistan,8151,8892,1.76,9830,2.03,10998,2.27,12431,2.48,14133,2.6,15045,1.26,13120,-2.7,13569,0.67,19446,7.46,22462,2.93,26335,3.23,29121,2.03,32565,2.26
 Albania,1228,1393,2.56,1624,3.12,1884,3.02,2157,2.74,2402,2.17,2672,2.16,2957,2.05,3245,1.88,3159,-0.54,3159,0,3025,-0.86,2987,-0.25,3030,0.28
 Algeria,8893,9842,2.05,10910,2.08,11964,1.86,13932,3.09,16141,2.99,18807,3.1,22009,3.19,25191,2.74,28322,2.37,30639,1.58,32918,1.45,35950,1.78,39543,1.92
 American Samoa,20,20,0.72,21,0.2,25,4.23,28,2.08,30,1.68,33,1.81,39,3.57,48,4.09,54,2.69,58,1.39,57,-0.28,56,-0.53,55,-0.41
 Andorra,7,7,0.04,9,6.28,14,10.17,20,7.49,27,6.32,34,4.81,45,5.84,53,3.41,64,3.7,66,0.58,77,3.18,85,2.12,86,0.25
 Angola,4118,4424,1.44,4798,1.64,5135,1.37,5606,1.77,6051,1.54,7206,3.56,8390,3.09,9486,2.48,11000,3.01,12683,2.89,14770,3.09,17043,2.9,19626,2.86
 Anguilla,6,6,0.8,6,0.79,6,0.75,7,0.8,7,0.68,7,0.64,7,1.35,9,3.84,10,3.2,12,3.02,14,2.8,15,2.4,17,2.14
 Antigua and Barbuda,46,52,2.19,55,1.32,60,1.7,66,2.05,69,0.73,69,0.15,65,-1.24,65,-0.07,69,1.38,76,1.86,82,1.53,87,1.31,93,1.28
 Argentina,17151,18928,1.99,20617,1.72,22284,1.57,23963,1.46,26082,1.71,28370,1.7,30672,1.57,33036,1.5,35274,1.32,37336,1.14,39182,0.97,41344,1.08,43432,0.99
 Armenia,1356,1566,2.92,1869,3.61,2206,3.37,2520,2.7,2835,2.38,3134,2.03,3465,2.02,3530,0.37,3131,-2.37,3101,-0.19,3085,-0.1,3072,-0.08,3057,-0.1
